company,runner_count
SAUTER Deutschland,44
Volksbank pur eG,44
"TTI, Inc. Team",44
Wohlfahrtswerk für Baden-Württemberg,44
KPIT Technologies GmbH,44
Paulmann Licht GmbH,44
IPG Automotive,44
Buffalo Das Steakhaus,43
DFS Deutsche Flugsicherung,43
Kaufland e-commerce,43
GAG Immobilien AG,43
Elli - VW Group Charging,43
INFICON GmbH,43
Jobcenter Köln,43
MARTIN GmbH,43
api GmbH,43
Essity,43
Exclusive - Med. Fitnesstraining,43
Kreisstadt Merzig,43
AmRest Germany,43
MVZ Labor Koblenz,43
BNP Paribas Real Estate,43
#einTeamLidlMünchen,43
Brodos AG,43
WOLFF & MÜLLER HOLDING,43
SV Werder Bremen,43
Team Straumann,43
DRK KV Kaiserslautern-Land e.V.,43
ROLAND,43
Art-Invest Real Estate,43
Sonic Healthcare Germany,43
TeamClemi,43
ZAR,43
CHECK24 Mobilfunk,43
Bauwens GmbH & Co. KG,43
LfA Förderbank Bayern,43
Lucas-Nülle,42
Vinzenzkrankenhaus Hannover GmbH,42
Bucherer Time Racers,42
Triumph,42
NWS,42
OBI Berlin,42
Melchers,42
Caritasverband Westerwald-Rhein-Lahn,42
EWV Energie- und Wasser-Versorgung,42
VfB Stuttgart 1893 AG,42
Stadtsparkasse Düsseldorf,42
ISAR Klinikum,42
Media Markt / Saturn,42
Rheinische Post Mediengruppe,42
ADVANT Beiten,42
HUF HAUS GmbH & Co. KG,42
Mars,42
Zimmer Biomet Deutschland GmbH,42
Hogan Lovells. Läuft.,42
ALDI Nord,42
Otto Männer GmbH,42
ALTEN,42
VEMAG Verlags- und Medien AG,42
Dauphin HumanDesign Group,41
OneSUSS,41
Minimax GmbH,41
Maxim Group,41
Bundesliga Allstars,41
Medic-Center Nürnberg,41
BG-Phoenics GmbH,41
Baumüller Gruppe,41
-,41
BNP Paribas S.A.,41
Laser Zentrum Hannover e.V.,41
1. FC Kaiserslautern,41
Pflanzen-Kölle,41
Hochschule Kaiserslautern,41
VR Bank RheinAhrEifel eG,41
Kindertagesstätten SüdOst,41
Ev. Kitaverband Mitte-West,41
Pan Dacom Networking AG,41
Dachser Karlsruhe,41
PreussenElektra GmbH,41
medrunner,41
Sozialwerk Bremen,41
CGI,41
INFORM läuft,41
Team RMMV,41
Sika - Bei uns läuft's,41
SCANLAB,41
Adient Aerospace,41
BWI,41
Prinzen Rolle,41
HSP Hochspannungsgeräte GmbH,40
AUF DER BULT,40
Faurecia Autositze GmbH,40
DCON,40
Bayerisches Rotes Kreuz,40
Zeppelin Power Systems GmbH,40
Deutsche Rentenversicherung Nord,40
NVIDIA,40
Streck Transport,40
Wirtschaft bewegt,40
Leasing Solutions,40
Team PIN AG,40
BNT,40
Harren Group,40
Team Cellex,40
Thüga,40
congstar & Telekom,40
wolfcraft,40
ENERGY Bremen,40
Team SCHÖLLY,40
Ganteführer Runners,40
Amazon Deutschland,40
Team FUNKE,40
Team Rockwool,40
BW Bank,40
Abbott Laboratories GmbH,40
ELAFLEX,40
Allane Mobility Group,40
ZECH GROUP,40
Gymnasium auf der Karthause,40
Ernst Klett Verlag,40
Bundesanzeiger Verlag GmbH,40
ARTIVA SPORTS,40
AKK Altonaer Kinderkrankenhaus,40
GfK,40
Bavarian rennt,40
Viatris,39
AXA Berlin,39
GOLDBECK West,39
prismat/RUN,39
Team CJW,39
Laserline GmbH,39
SARIA A/S GmbH & Co. KG,39
embeX,39
CeramTec GmbH,39
Mobileye Germany,39
Takasago,39
ALZURA AG,39
pwc,39
Honeywell Special Chemicals Seelze,39
PHW-Gruppe,39
Menschen für Menschen,39
Getriebebau NORD GmbH & Co. KG,39
doctari group,39
adjoe GmbH,39
GETEC ENERGIE GmbH,39
Team Murtfeldt,39
BREUNINGER,39
Forbo Siegling GmbH,39
Jäger Group,39
Kessler-Handorn,39
Heuking,38
EGU,38
GP Papenburg Baugesellschaft mbH,38
RD Runs,38
HA Group,38
LOSCHELDER,38
Evangelisches Krankenhaus Dierdorf,38
VIVAVIS AG,38
Plusnet GmbH,38
Next Kraftwerke GmbH,38
CBH Rechtsanwälte,38
Landschaftsverband Rheinland,38
Losan Pharma GmbH,38
NBank-Runners,38
CBR Service GmbH,38
Interpneu Handelsgesellschaft mbH,38
Nanotec Electronic GmbH & Co. KG,38
Schülerhilfe GmbH & Co. KG,38
Alps Alpine Runners,38
SaarGummi Group,38
Klöckner,38
Landratsamt Breisgau-Hochschwarzwald,38
Team VNP,38
GLOBAL Gruppe,38
Björnsen Beratende Ingenieure GmbH,38
Athlon Germany GmbH,38
Finzelberg GmbH & Co. KG,37
abcfinance GmbH,37
Medtronic,37
Sprint Sanierung,37
Team MHB,37
BDH Vallendar,37
Team Handwerkskammer,37
voestalpine Signaling Siershahn GmbH,37
Teleperformance Berlin 1,37
Hartkorn Gewürzmühle GmbH,37
Sparkasse Donnersberg,37
Schlüter-Systems KG,37
WU-Runners 2025,37
EVK Gelsenkirchen,37
AKDB Runners,37
HAYS,37
Minor Hotels,37
Ingenieurbüro Drecoll,37
#TeamPolytec,37
Rheinische Hochschule Köln,37
Nabertherm,37
IONITY,37
Supreme Running,37
Xylem Sensus,37
CR3 Coffee Group,37
StEB Köln,37
Swiss Re,37
Bezirksamt Tempelhof-Schöneberg,37
BABOR BEAUTY GROUP,37
RWZ Rhein-Main AG,37
PANDION AG,36
Stadt Erkrath,36
KZV BW,36
Bank-Verlag,36
Babbel,36
Landkreis Oldenburg,36
BayWa r.e.,36
Pandora,36
Szaidel Cosmetic,36
Duravit Runners,36
SOS Kinderdorf Bremen,36
Gestra AG,36
Bosch Sicherheitssysteme GmbH,36
Grünecker Patent- und Rechtsanwälte,36
Renault Group,36
Linneweber Landschaftsbau,36
SanLucar,36
SG Rauschermühle,36
AMCON Software GmbH,36
KOCH Running Crew,36
Nemera Neuenburg,36
PFLEGEN & WOHNEN HAMBURG,36
Rehakliniken Glotterbad Klausenbach,36
Das Kängu-Rudel,36
WIR gemeinsam,36
Internationaler Bund e.V.,36
Hines München,36
Handwerkskammer Koblenz,36
TDK Sensors,36
GFK Ingenieure,36
Handwerkskammer Pfalz,36
Pharbil Waltrop GmbH,36
F. X. MEILLER GmbH & Co KG,36
FAZ Aachen,36
Weig Group,36
genua GmbH,36
Bezirksverband Pfalz,36
igefa RUN,36
PVH Brands Germany GmbH,36
LINDA.läuft,35
Wirtschaftsraum Hannover läuft!,35
Pfalzklinikum,35
XPENG,35
HOC Köln,35
GATX - Railcar Leasing - Made Easier,35
HZB,35
Hirschmann Automation and Control,35
voestalpine Sainerholz,35
Henry Lamotte,35
Actemium Energy Projects GmbH,35
Marel TREIF GmbH,35
Bayernland eG,35
CENIT AG,35
Henry Lambertz Aachen,35
HANSA-FLEX AG,35
Die Extraterrestrischen,35
GOLDBECK Süd,35
Caritasverband Düren-Jülich,35
LOBSTARS,35
Math2Market,35
Zentis2024,35
Pixida Group,35
DATAGROUP,35
Gematik,35
Team Schaltbau,35
Baader Trading,35
Kraft Heinz,35
Diehl Defence,35
Stork,35
Trivago,35
ECOMAL Europe GmbH,35
zero,34
ALSCO Berufskleidungs-Service GmbH,34
Kreisverwaltung Kusel,34
ams.Solution AG,34
REMONDIS,34
#LändlePower,34
plantIng,34
Grundfos Dosing & Disinfection GmbH,34
Die Dreso's Berlin,34
Team Ray Events,34
Die Draum-Körber,34
ams OSRAM,34
bam,34
HILTI VG12,34
Aptar,34
John Deere,34
Hauptzollamt Koblenz,34
hartech Gruppe,34
Hays AG,34
Airbus Bank GmbH,34
Silver Atena,34
Otto Group one.O,34
GE MA laufen!,34
METZLER : VATER,34
Regionetz GmbH,34
VLH,34
Abrechnungszentrum Emmendingen,34
Qioptiq Photonics GmbH Co.KG,34
Diakonie Saar,34
"Pari LV, Hannover & Suchthilfe Nds.",34
Dr. Ausbüttel & Co. GmbH,34
Hegmanns AG,34
BwCon RunnersTeam,34
MPI IP-SOZ-TAX,34
Trusted Shops,34
Schoeller Werk,34
Heels4Wheels,34
Horvtáh,34
m-tec mathis technik gmbh,34
Westwing Run Club,34
Scania,34
thyssenkrupp rothe erde Germany GmbH,34
Hugidubies,34
educcare Kitas,34
Team Verti,34
Freundlieb Bauunternehmung,34
Truma Gerätetechnik GmbH & Co. KG,34
FUJITSU,34
ESCHENBACH RUNNERS,34
Praxis für Physiotherapie Ehre,34
Kreisverwaltung Kaiserslautern,34
DIGA-Ingenieure,34
WESER-KURIER Mediengruppe,34
Motel One Berlin,34
Ev. Kirche - Diakonisches W Freiburg,34
Zahn Mund Kiefer,34
Aachener Siedlungs- und Wohn.,33
GO! Express & Logistics GmbH,33
MPI-SusMat,33
Thales,33
#bettertogether - REDPATH DEILMANN,33
Volvo Trucks Deutschland,33
EUROPART,33
AWO Westliches Westfalen,33
Nemak,33
Telonic Bodyguards,33
BDH Klinik Hessisch Oldendorf,33
ANNAX,33
CeramTec,33
SPIE ICS,33
Lufthansa Group,33
REHA-Runners - Vielfalt läuft!,33
LBM Kaiserslautern,33
FlowRunners,33
Huber,33
Insiders Technologies GmbH,33
Worley,33
NTT DATA Köln,33
Provinzial,33
team neusta,33
Stadtwerke Saarlouis GmbH,33
Apollo-Optik,33
Krankenhausgesellschaft St. Vincenz,33
MAERSK,33
LEONINE,33
Niersberger Group,33
Züblin,33
FOM Hochschule - Team Hamburg,33
Gleiss Lutz,33
Johanniter-Unfall-Hilfe e.V.,33
Noerr,33
Arbeiter-Samariter-Bunt,33
Dorint #Hotelhelden,33
WEPA Apothekenbedarf,33
Energie Südbayern GmbH,33
Läuft wie geschmiert,33
Best4Tires,33
ZG Raiffeisen,33
aha Zweckverband Abfallwirtschaft,33
DB InfraGO,33
DRK KV Saarlouis,33
Microsoft Berlin,33
Gemeinde Schmelz,33
waipu.tv,33
Fieldfisher,33
Berge & Meer Running-Team,33
Unleash Orbem Run Power,33
NBB Laufwerke,33
EOS,33
Sonepar,33
ERHARDT GRUPPE,33
Jungheinrich Vertrieb,33
Bastei Lübbe AG,33
A. Nattermann & Cie. GmbH,33
Carhartt WIP,33
providata,33
Solidaris,33
WABE e.V.,32
Kreis Euskirchen,32
EK Runners Connection,32
GVV Direkt Rhein Runners,32
RBS wave GmbH,32
CACEIS,32
#zeitfürbewegung,32
Innovabee GmbH,32
Technica Engineering GmbH,32
Volksbank eG OHZ BRV,32
Agentur für Arbeit,32
Oviva AG,32
BW Converting,32
Lebenshilfe Völklingen,32
Caritasverband Saar-Hochwald e.V.,32
DFH GRUPPE,32
Greenovative,32
Pilkington Automotive Deutschland,32
Coca-Cola,32
APLEONA,32
Team Lidl Eggolsheim,32
iwis,32
Kreisverwaltung Neuwied,32
MOBOTIX AG,32
Krankenhaus St. Joseph-Stift GmbH,32
MMV Bank GmbH,32
