year,fitnessdax_rank,fitness_score,fitness_score_100,matched_company,ticker,index,sector,cluster,participants,germany_employees_estimate,participation_rate,participation_rate_pct,participation_rate_rank,races_entered,top_20_pace,top_20_pace_formatted,top_20_pace_rank,median_pace,median_pace_formatted,median_pace_rank,average_pace_formatted,fastest_pace_formatted,slowest_pace_formatted,culture_score,culture_score_rank
2024,42,0.2963,29.6,Gerresheimer,GXI.DE,MDAX,Healthcare,Precision Engineers,20,3000,0.006666666666666667,0.67,40,1,3.930833333333333,3:56/km,2,5.632222222222222,5:38/km,24,5:42/km,3:42/km,8:57/km,0.231,52
2024,43,0.2834,28.3,TRATON,8TRA.DE,MDAX,Automotive,Mobility Machines,13,35000,0.00037142857142857143,0.04,59,1,4.076900584795322,4:05/km,5,4.753801169590643,4:45/km,1,4:46/km,4:02/km,5:54/km,0.234,51
2024,44,0.2768,27.7,E.ON,EOAN.DE,DAX,Energy,Grid Operators,150,47000,0.0031914893617021275,0.32,45,4,4.314678362573099,4:19/km,16,5.2914102564102565,5:17/km,12,5:33/km,3:30/km,8:41/km,0.411,22
2024,45,0.264,26.4,Vonovia,VNA.DE,DAX,Real Estate,Infrastructure Operators,24,12000,0.002,0.2,51,3,4.287134502923976,4:17/km,13,5.2463523391812865,5:15/km,10,5:20/km,3:56/km,6:26/km,0.263,48
2024,46,0.2584,25.8,thyssenkrupp,TKA.DE,MDAX,Industrials,Heavy Industry,168,48000,0.0035,0.35,43,5,4.56339825552582,4:34/km,31,5.557123352165725,5:33/km,19,5:47/km,3:35/km,9:53/km,0.4,26
2024,47,0.2512,25.1,Deutsche Lufthansa,LHA.DE,MDAX,Logistics,Mobility Machines,18,66000,0.00027272727272727274,0.03,60,1,4.599255952380952,4:36/km,33,5.113690476190477,5:07/km,8,5:20/km,4:15/km,6:53/km,0.245,50
2024,48,0.2486,24.9,HelloFresh,HFG.DE,MDAX,Consumer,Digital Hustlers,27,3500,0.007714285714285714,0.77,38,1,5.412638888888889,5:25/km,60,6.359999999999999,6:22/km,56,6:50/km,4:27/km,11:08/km,0.225,54
2024,49,0.2325,23.3,Mercedes-Benz,MBG.DE,DAX,Automotive,Mobility Machines,216,90000,0.0024,0.24,49,4,4.663583333333333,4:40/km,39,5.679027777777778,5:41/km,28,5:58/km,3:47/km,10:42/km,0.411,24
2024,50,0.2254,22.5,Deutsche Telekom,DTE.DE,DAX,Telecom,Connected Operators,205,74550,0.002749832327297116,0.27,48,4,4.610655737704918,4:37/km,34,5.8199453551912566,5:49/km,40,6:00/km,3:44/km,10:43/km,0.397,27
2024,51,0.2196,22.0,Volkswagen,VOW3.DE,DAX,Automotive,Mobility Machines,261,293338,0.0008897585720227179,0.09,57,1,4.641794871794872,4:39/km,36,5.583589743589743,5:35/km,21,5:41/km,3:33/km,8:55/km,0.433,13
